Job_ID,Location,Is_Remote,Job_Type,Salary_Range_Min,Salary_Range_Max,Required_Skills,Required_Experience_Level,Num_Positions,Priority_Weight,Questionnaire
J0001,D,1,Part-time,96000,137000,"['Teamwork', 'Sales Experience', 'Problem Solving']",Senior,5,7,"[2, 5, 5, 1, 0, 4, 3, 2, 2, 3, 2, 3, 0, 4, 0, 0, 4, 4, 4, 0]"
J0002,C,1,Internship,129000,178000,"['CI/CD', 'DevOps']",Manager,3,8,"[2, 3, 4, 5, 5, 4, 4, 2, 5, 3, 2, 2, 4, 4, 0, 5, 5, 3, 5, 5]"
J0003,E,1,Part-time,142000,192000,"['NoSQL', 'Problem Solving', 'Network Administration', 'Data Analysis']",Lead,1,8,"[2, 3, 4, 0, 3, 3, 4, 0, 0, 2, 3, 1, 3, 3, 5, 3, 5, 3, 4, 4]"
J0004,B,1,Internship,35000,76000,"['Java', 'Communication']",Entry-level,4,7,"[0, 2, 1, 1, 5, 5, 1, 5, 3, 4, 2, 3, 3, 4, 4, 0, 2, 3, 0, 3]"
J0005,B,0,Contract,118000,152000,"['CI/CD', 'Marketing Strategy', 'Technical Writing']",Senior,1,9,"[0, 2, 0, 0, 2, 1, 0, 4, 2, 5, 2, 4, 4, 2, 4, 1, 5, 5, 1, 0]"
J0006,F,1,Contract,123000,169000,"['Cybersecurity', 'Customer Support', 'Technical Writing', 'Communication']",Lead,2,10,"[3, 4, 4, 5, 3, 5, 3, 1, 1, 5, 3, 4, 2, 4, 1, 0, 3, 5, 0, 2]"
J0007,B,0,Full-time,144000,190000,"['Leadership', 'Python']",Manager,5,10,"[2, 0, 3, 5, 3, 4, 0, 4, 5, 4, 0, 2, 0, 5, 1, 4, 1, 2, 3, 5]"
J0008,F,0,Contract,97000,142000,['NoSQL'],Lead,2,4,"[1, 5, 5, 3, 4, 3, 1, 0, 0, 4, 3, 2, 0, 4, 4, 1, 3, 0, 3, 2]"
J0009,B,0,Internship,121000,150000,"['System Design', 'Cloud (AWS/Azure/GCP)', 'CI/CD', 'Cybersecurity']",Senior,4,5,"[3, 4, 0, 3, 1, 4, 1, 2, 2, 5, 1, 3, 4, 5, 2, 4, 4, 2, 4, 5]"
J0010,B,0,Part-time,119000,161000,"['C++', 'System Design']",Senior,3,1,"[5, 4, 2, 5, 2, 2, 3, 2, 4, 4, 1, 2, 5, 1, 3, 5, 3, 3, 0, 4]"
J0011,C,0,Full-time,122000,152000,"['SQL', 'Python', 'Leadership', 'CI/CD']",Manager,3,2,"[5, 2, 1, 4, 4, 1, 5, 3, 3, 1, 0, 1, 2, 0, 5, 1, 2, 4, 0, 1]"
